"","UNQ_ID","CI","CYAN_Date","CI_Actual","CellCount"
"7474","SLR_06",0,2020-05-18,6.30957344480193e-05,6309.57344480193
"7475","SLR_05",0,2020-05-18,6.30957344480193e-05,6309.57344480193
"7476","SLR_02",0,2020-05-18,6.30957344480193e-05,6309.57344480193
"7477","SLR_06",0,2020-05-19,6.30957344480193e-05,6309.57344480193
"7478","SLR_05",0,2020-05-19,6.30957344480193e-05,6309.57344480193
"7479","SLR_04",0,2020-05-19,6.30957344480193e-05,6309.57344480193
"7480","SLR_01",0,2020-05-20,6.30957344480193e-05,6309.57344480193
"7481","SLR_10",0,2020-05-20,6.30957344480193e-05,6309.57344480193
"7482","SLR_09",0,2020-05-20,6.30957344480193e-05,6309.57344480193
"7483","SLR_08",0,2020-05-20,6.30957344480193e-05,6309.57344480193
"7484","SLR_07",0,2020-05-20,6.30957344480193e-05,6309.57344480193
"7485","SLR_06",0,2020-05-20,6.30957344480193e-05,6309.57344480193
"7486","SLR_05",0,2020-05-20,6.30957344480193e-05,6309.57344480193
"7487","SLR_04",0,2020-05-20,6.30957344480193e-05,6309.57344480193
"7488","SLR_03",0,2020-05-20,6.30957344480193e-05,6309.57344480193
"7489","SLR_02",0,2020-05-20,6.30957344480193e-05,6309.57344480193
"7490","SLR_06",0,2020-05-21,6.30957344480193e-05,6309.57344480193
"7491","SLR_01",0,2020-05-22,6.30957344480193e-05,6309.57344480193
"7492","SLR_10",0,2020-05-22,6.30957344480193e-05,6309.57344480193
"7493","SLR_09",0,2020-05-22,6.30957344480193e-05,6309.57344480193
"7494","SLR_08",0,2020-05-22,6.30957344480193e-05,6309.57344480193
"7495","SLR_07",0,2020-05-22,6.30957344480193e-05,6309.57344480193
"7496","SLR_06",0,2020-05-22,6.30957344480193e-05,6309.57344480193
"7497","SLR_05",0,2020-05-22,6.30957344480193e-05,6309.57344480193
"7498","SLR_04",0,2020-05-22,6.30957344480193e-05,6309.57344480193
"7499","SLR_03",0,2020-05-22,6.30957344480193e-05,6309.57344480193
"7500","SLR_02",0,2020-05-22,6.30957344480193e-05,6309.57344480193
"7501","SLR_01",0,2020-05-23,6.30957344480193e-05,6309.57344480193
"7502","SLR_10",0,2020-05-23,6.30957344480193e-05,6309.57344480193
"7503","SLR_09",0,2020-05-23,6.30957344480193e-05,6309.57344480193
"7504","SLR_08",0,2020-05-23,6.30957344480193e-05,6309.57344480193
"7505","SLR_07",0,2020-05-23,6.30957344480193e-05,6309.57344480193
"7506","SLR_06",0,2020-05-23,6.30957344480193e-05,6309.57344480193
"7507","SLR_05",0,2020-05-23,6.30957344480193e-05,6309.57344480193
"7508","SLR_04",0,2020-05-23,6.30957344480193e-05,6309.57344480193
"7509","SLR_03",0,2020-05-23,6.30957344480193e-05,6309.57344480193
"7510","SLR_02",0,2020-05-23,6.30957344480193e-05,6309.57344480193
"7511","SLR_01",0,2020-05-24,6.30957344480193e-05,6309.57344480193
"7512","SLR_10",0,2020-05-24,6.30957344480193e-05,6309.57344480193
"7513","SLR_09",0,2020-05-24,6.30957344480193e-05,6309.57344480193
"7514","SLR_08",0,2020-05-24,6.30957344480193e-05,6309.57344480193
"7515","SLR_07",0,2020-05-24,6.30957344480193e-05,6309.57344480193
"7516","SLR_06",0,2020-05-24,6.30957344480193e-05,6309.57344480193
"7517","SLR_05",0,2020-05-24,6.30957344480193e-05,6309.57344480193
"7518","SLR_04",0,2020-05-24,6.30957344480193e-05,6309.57344480193
"7519","SLR_03",0,2020-05-24,6.30957344480193e-05,6309.57344480193
"7520","SLR_02",0,2020-05-24,6.30957344480193e-05,6309.57344480193
